date,city,price,br,lsqft,bsqft
2006-04-09,Berkeley,575000.0,3.0,4120.0,1315.0
2006-05-21,Berkeley,765000.0,3.0,6237.0,2331.0
2006-10-01,Berkeley,750000.0,2.0,5400.0,1106.0
2006-08-20,Berkeley,899000.0,3.0,3330.0,1153.0
2006-03-05,Berkeley,775000.0,3.0,3360.0,1240.0
2006-01-01,Berkeley,590000.0,3.0,2900.0,1341.0
2006-08-27,Berkeley,655000.0,4.0,5472.0,1608.0
2006-08-06,Berkeley,616000.0,,2946.0,828.0
2006-09-03,Berkeley,505000.0,2.0,2850.0,970.0
2006-09-10,Berkeley,758500.0,2.0,4400.0,1267.0
2006-07-23,Berkeley,1000000.0,4.0,4500.0,2183.0
2006-12-17,Berkeley,762500.0,3.0,5000.0,2608.0
2006-07-16,Berkeley,580000.0,2.0,2450.0,944.0
2006-02-19,Berkeley,615000.0,3.0,2720.0,1034.0
2006-09-17,Berkeley,850000.0,3.0,4180.0,1398.0
2006-08-06,Berkeley,715000.0,2.0,3220.0,1104.0
2006-01-01,Berkeley,510000.0,2.0,3955.0,960.0
2006-01-22,Berkeley,850000.0,,5241.0,2876.0
2006-05-07,Berkeley,840000.0,3.0,5250.0,2094.0
2006-10-08,Berkeley,570000.0,2.0,5160.0,943.0
2006-05-28,Berkeley,360000.0,4.0,4200.0,2652.0
2006-12-24,Berkeley,590000.0,2.0,2450.0,1039.0
2006-08-13,Berkeley,635000.0,2.0,3200.0,991.0
2006-02-12,Berkeley,725000.0,7.0,6500.0,2914.0
2006-05-28,Berkeley,700000.0,,4420.0,2400.0
2006-12-17,Berkeley,610000.0,2.0,4940.0,1202.0
2006-01-29,Berkeley,540000.0,1.0,4644.0,1215.0
2006-03-19,Berkeley,540000.0,1.0,4644.0,1215.0
2006-05-14,Berkeley,850000.0,4.0,1840.0,2000.0
2006-01-08,Berkeley,556000.0,2.0,2130.0,974.0
2006-05-21,Berkeley,875000.0,4.0,4600.0,2297.0
2006-04-16,Berkeley,750000.0,4.0,4000.0,2219.0
2006-07-16,Berkeley,677000.0,2.0,3200.0,933.0
2006-01-01,Berkeley,600000.0,,6728.0,1491.0
2006-04-09,Berkeley,745000.0,6.0,2652.0,2058.0
2006-05-14,Berkeley,620000.0,3.0,3040.0,1184.0
2006-03-26,Berkeley,720000.0,5.0,3300.0,1882.0
2006-07-16,Berkeley,654000.0,2.0,4514.0,1604.0
2006-10-01,Berkeley,685000.0,2.0,4560.0,1477.0
2006-12-31,Berkeley,750000.0,4.0,4920.0,2374.0
2006-01-01,Berkeley,700000.0,4.0,4900.0,2775.0
2006-06-11,Berkeley,873000.0,,9660.0,2647.0
2006-09-24,Berkeley,812500.0,3.0,4880.0,1648.0
2006-12-03,Berkeley,600000.0,,6101.0,2451.0
2006-07-09,Berkeley,748000.0,2.0,4320.0,1231.0
2006-06-18,Berkeley,953000.0,4.0,4980.0,2220.0
2006-01-01,Berkeley,699000.0,2.0,4080.0,1055.0
2006-06-04,Berkeley,535000.0,2.0,3400.0,940.0
2006-08-27,Berkeley,835000.0,8.0,4950.0,2496.0
2006-09-10,Berkeley,840000.0,,6066.0,1516.0
2006-08-06,Berkeley,597000.0,,1935.0,2527.0
2006-12-31,Berkeley,618000.0,,1935.0,2527.0
2006-02-12,Berkeley,468500.0,4.0,5200.0,1566.0
2006-01-22,Berkeley,675000.0,2.0,4000.0,1630.0
2006-08-20,Berkeley,775000.0,4.0,6750.0,3682.0
2006-01-08,Berkeley,850000.0,10.0,3906.0,3906.0
2006-02-19,Berkeley,500000.0,3.0,5681.0,1225.0
2006-02-26,Berkeley,815000.0,3.0,5400.0,1538.0
2006-10-08,Berkeley,575000.0,3.0,4185.0,1685.0
2006-08-13,Berkeley,850000.0,6.0,4878.0,2114.0
2006-11-19,Berkeley,530000.0,2.0,4725.0,1345.0
2006-08-20,Berkeley,472000.0,2.0,6725.0,726.0
2006-09-17,Berkeley,869000.0,4.0,3690.0,1668.0
2006-08-13,Berkeley,1000000.0,4.0,3624.0,2507.0
2006-12-10,Berkeley,330000.0,1.0,4250.0,482.0
2006-04-30,Berkeley,720000.0,4.0,5051.0,1514.0
2006-12-03,Berkeley,741500.0,3.0,4799.0,1584.0
2006-08-13,Berkeley,372000.0,1.0,10000.0,650.0
2006-07-02,Berkeley,575000.0,2.0,10000.0,1130.0
2006-07-16,Berkeley,1150000.0,3.0,5400.0,2299.0
2006-12-24,Berkeley,613000.0,2.0,2464.0,1542.0
2006-09-24,Berkeley,1060000.0,7.0,6750.0,2832.0
2006-06-04,Berkeley,355000.0,1.0,8093.0,598.0
2006-07-09,Berkeley,425000.0,2.0,8093.0,715.0
2006-06-18,Berkeley,521000.0,2.0,8093.0,715.0
2006-09-03,Berkeley,1197000.0,4.0,4833.0,2415.0
2006-11-26,Berkeley,642000.0,3.0,8760.0,1068.0
2006-07-16,Berkeley,1375000.0,,3607.0,3267.0
2006-08-13,Berkeley,1822000.0,5.0,13100.0,2173.0
2006-06-04,Berkeley,1050000.0,3.0,6875.0,2494.0
2006-02-19,Berkeley,555000.0,,8059.0,1371.0
2006-09-24,Berkeley,915000.0,3.0,4183.0,1734.0
2006-05-14,Berkeley,1200000.0,3.0,3900.0,2095.0
2006-05-21,Berkeley,1250000.0,4.0,12500.0,2289.0
2006-12-31,Berkeley,2240000.0,1.0,13200.0,4436.0
2006-10-29,Berkeley,1540000.0,4.0,6350.0,2204.0
2006-08-13,Berkeley,601000.0,2.0,5000.0,1947.0
2006-05-14,Berkeley,688000.0,2.0,4455.0,1100.0
2006-07-09,Berkeley,548000.0,3.0,3500.0,1055.0
2006-10-22,Berkeley,700000.0,4.0,5700.0,3819.0
2006-08-20,Berkeley,633000.0,2.0,2880.0,1062.0
2006-04-09,Berkeley,639000.0,2.0,5670.0,1086.0
2006-11-19,Berkeley,603000.0,2.0,3400.0,1204.0
2006-05-14,Berkeley,565000.0,2.0,1959.0,706.0
2006-07-16,Berkeley,910000.0,3.0,4573.0,1919.0
2006-12-24,Berkeley,670000.0,2.0,3800.0,1123.0
2006-11-12,Berkeley,560000.0,2.0,3589.0,1196.0
2006-10-29,Berkeley,755000.0,2.0,6750.0,1448.0
2006-02-26,Berkeley,840000.0,2.0,4860.0,1273.0
2006-10-08,Berkeley,775000.0,2.0,5130.0,1258.0
2006-05-14,Berkeley,900000.0,4.0,6000.0,3129.0
2006-01-29,Berkeley,482000.0,2.0,1665.0,797.0
2006-04-23,Berkeley,1032500.0,4.0,3432.0,1856.0
2006-10-22,Berkeley,775000.0,3.0,4742.0,2409.0
2006-08-13,Berkeley,425000.0,,4446.0,685.0
2006-01-08,Berkeley,1675000.0,4.0,3740.0,3626.0
2006-04-23,Berkeley,1175000.0,4.0,4410.0,2147.0
2006-02-05,Berkeley,1740500.0,5.0,5850.0,2647.0
2006-11-26,Berkeley,752000.0,2.0,5900.0,1420.0
2006-11-26,Berkeley,1718000.0,16.0,6400.0,5025.0
2006-10-29,Berkeley,402500.0,1.0,10569.0,776.0
